npop,nger,Pc,Pm,k,n_elite,Melhor μ,Melhor σ,Média μ,Média σ
100,100,1.0,0.05,2,2,0.0004026195819730738,0.0004138652512027834,1.9104194773844967,0.1799616623213096
100,100,1.0,0.05,2,0,0.021945596217144914,0.01393182706289124,2.048786016916992,0.22147873541684765
100,100,1.0,0.1,2,2,0.0019121189117879745,0.0011287914021539495,3.627169729747622,0.1499878865775033
100,100,1.0,0.1,2,0,0.44610562834419776,0.27593170091405256,4.0899523792916765,0.24525626008346602
100,100,0.8,0.05,2,2,0.0001674481487385471,6.923717819289054e-05,1.874561394585476,0.13117475965735884
100,100,0.8,0.05,2,0,0.029578330054308655,0.02223569152989385,1.9065785815617544,0.2907562909801667
100,100,0.8,0.1,2,2,0.0019176932869453545,0.001331036579048077,3.686480099720022,0.19986568098721177
100,100,0.8,0.1,2,0,0.500467915447436,0.27032884009859365,4.163410282071194,0.21830985441303755
100,200,1.0,0.05,2,2,0.00012212177588510897,0.0,1.8792793622414592,0.27513117641671014
100,200,1.0,0.05,2,0,0.024534759192795352,0.011553582552867515,2.03703660102858,0.20396700735939927
100,200,1.0,0.1,2,2,0.0007589008313730438,0.0008245987957367625,3.781149878362798,0.20466417562045527
100,200,1.0,0.1,2,0,0.23273894252254027,0.1243453496052995,4.032212125411268,0.19148464876644092
100,200,0.8,0.05,2,2,0.00012212177588510897,0.0,1.8212878165271884,0.2069482243195682
100,200,0.8,0.05,2,0,0.03144585573448646,0.01873831413444261,2.0015393691513714,0.15396340787864585
100,200,0.8,0.1,2,2,0.0005607967579678963,0.00041048132711967545,3.793185487205997,0.17139872168529427
100,200,0.8,0.1,2,0,0.3400344298794985,0.3599833930437848,4.0258888284912215,0.2320612510033695
100,500,1.0,0.05,2,2,0.00012212177588510897,0.0,1.8033164967820732,0.24266964482622289
100,500,1.0,0.05,2,0,0.029683228214407453,0.013360675627361502,2.026904114678774,0.19750396552587324
100,500,1.0,0.1,2,2,0.00022784019801322942,0.00020211860620068198,3.74454455650951,0.19991363566824122
100,500,1.0,0.1,2,0,0.2992746409628301,0.13730170858595067,4.122121142867992,0.26763230840892127
100,500,0.8,0.05,2,2,0.00012212177588510897,0.0,1.903163534531161,0.1335328351106947
100,500,0.8,0.05,2,0,0.025872928813964878,0.025221683657875364,2.161837908143379,0.21664359859467341
100,500,0.8,0.1,2,2,0.00012212177588510897,0.0,3.718946973915737,0.14369576221606373
100,500,0.8,0.1,2,0,0.3611831716319,0.27751896348246174,4.048088444293206,0.2857475520219984
200,100,1.0,0.05,2,2,0.0002602252765481872,0.0002471469802935365,1.9499817008936398,0.15526149549388274
200,100,1.0,0.05,2,0,0.020194674158620973,0.007661768681307216,2.068410137089832,0.19644305646772695
200,100,1.0,0.1,2,2,0.0019330108903273136,0.0010435380238339987,3.8534564483123916,0.1268408300268945
200,100,1.0,0.1,2,0,0.21588933836207724,0.15536345427818724,4.182210969531105,0.18144016134651586
200,100,0.8,0.05,2,2,0.000137230566836255,4.5326372853438106e-05,2.0112128036871666,0.17250378884970666
200,100,0.8,0.05,2,0,0.02269382873781618,0.010485160605032092,2.013983397191821,0.11379226717227013
200,100,0.8,0.1,2,2,0.002708083155588614,0.0021003410453904452,3.870574642804603,0.08952265520328166
200,100,0.8,0.1,2,0,0.19688347944990073,0.10117308886526735,4.093130011559072,0.12449352368378094
200,200,1.0,0.05,2,2,0.00012212177588510897,0.0,1.9252076676061527,0.1343548440999342
200,200,1.0,0.05,2,0,0.020349242077386708,0.018581747754386445,2.058742522422427,0.16220868162125082
200,200,1.0,0.1,2,2,0.0005613823226661374,0.0002669890366633404,3.8962431190698,0.05173087486729161
200,200,1.0,0.1,2,0,0.170662254992184,0.10675639933279235,4.094825379662454,0.14726836300188206
200,200,0.8,0.05,2,2,0.00012212177588510897,0.0,1.8901438558275943,0.17437232302321284
200,200,0.8,0.05,2,0,0.021315964115640983,0.006941182032514593,2.0580224284390853,0.16386867313860057
200,200,0.8,0.1,2,2,0.0004292769768178495,0.0005426926581983981,3.927641786287252,0.13959291009894667
200,200,0.8,0.1,2,0,0.12580033233628898,0.08344843519088328,4.0928181491318085,0.1127618888016029
200,500,1.0,0.05,2,2,0.00012212177588510897,0.0,1.9401622255348099,0.12866374202826195
200,500,1.0,0.05,2,0,0.027655144573908164,0.013479891796752403,2.0890583832998493,0.152756663865963
200,500,1.0,0.1,2,2,0.00015233935778740103,6.043516380458413e-05,3.881536254808882,0.15805944268412714
200,500,1.0,0.1,2,0,0.2281355294192907,0.1515632436419444,4.11131752739812,0.13335210529488273
200,500,0.8,0.05,2,2,0.00012212177588510897,0.0,1.8912623396319428,0.18886715691397143
200,500,0.8,0.05,2,0,0.025766556887707015,0.012259103287593802,1.9889771907653535,0.12207629774580467
200,500,0.8,0.1,2,2,0.00012212177588510897,0.0,3.8899853999796847,0.14173812449497478
200,500,0.8,0.1,2,0,0.16697907215349989,0.07073728000396018,4.050466009519874,0.1515422686096538
