geracao,melhor,media
1,488,666.76
2,485,624.16
3,477,600.57
4,477,563.96
5,467,539.53
6,458,518.06
7,455,508.6
8,455,493.92
9,448,487.58
10,448,479.45
11,424,466.65
12,424,458.39
13,424,448.37
14,424,437.55
15,424,431.12
16,424,427.05
17,424,428.16
18,411,425.03
19,411,426.9
20,411,425.85
21,411,423.36
22,411,421.66
23,394,418.74
24,394,416.34
25,394,413.31
26,394,414.04
27,394,412.56
28,394,411.91
29,394,403.55
30,394,402.56
31,394,395.21
32,394,395.97
33,394,401.11
34,394,398.61
35,394,403.62
36,388,398.04
37,388,397.93
38,388,397.5
39,370,397.7
40,370,393.52
41,370,395.82
42,370,388.19
43,370,386.0
44,370,384.67
45,370,378.1
46,363,376.28
47,363,376.42
48,363,371.99
49,363,373.0
50,363,370.39
51,363,365.83
52,363,368.8
53,363,368.58
54,363,363.82
55,363,365.47
56,363,363.02
57,363,363.92
58,363,363.9
59,363,365.82
60,363,370.83
61,363,365.36
62,363,365.39
63,363,369.67
64,363,369.94
65,363,367.76
66,363,369.8
67,363,365.03
68,363,364.73
69,363,366.06
70,363,365.83
71,363,370.08
72,363,364.48
73,363,368.43
74,363,368.24
75,363,366.55
76,363,370.6
77,363,363.82
78,363,368.34
79,363,366.88
80,363,363.7
81,363,365.66
82,363,366.19
83,363,366.57
84,363,365.19
85,363,364.92
86,363,365.4
87,342,367.35
88,342,370.77
89,342,363.96
90,342,362.65
91,342,359.27
92,342,353.47
93,342,345.71
94,342,350.46
95,342,346.01
96,342,345.13
97,342,344.93
98,342,345.58
99,342,350.34
100,342,347.22
101,342,347.03
102,342,342.71
103,342,347.47
104,342,347.28
105,342,344.17
106,342,348.71
107,342,349.26
108,342,345.72
109,342,345.06
110,342,345.76
111,342,345.76
112,342,343.97
113,342,348.96
114,342,345.98
115,342,347.22
116,342,345.04
117,342,347.03
118,342,342.0
119,342,347.27
120,342,350.05
121,342,346.3
122,342,348.84
123,342,350.88
124,342,345.1
125,342,347.38
126,342,350.38
127,342,344.25
128,342,344.45
129,342,348.1
130,342,346.09
131,342,353.09
132,342,345.64
133,342,346.49
134,342,343.99
135,342,346.87
136,342,349.72
137,342,345.18
138,342,346.59
139,342,345.33
140,342,347.14
141,342,344.33
142,342,347.6
143,342,349.96
144,342,347.5
145,342,348.48
146,342,344.88
147,342,344.4
148,342,348.92
149,342,346.49
150,342,343.57
151,342,343.46
152,342,348.17
153,342,345.95
154,342,344.6
155,342,342.57
156,342,346.2
157,342,344.85
158,342,345.03
159,342,342.64
160,342,342.12
161,342,345.66
162,342,346.98
163,342,343.08
164,342,345.61
165,342,344.91
166,342,344.13
167,342,354.79
168,342,350.18
169,342,351.53
170,342,353.11
171,342,348.21
172,342,345.24
173,342,344.15
174,342,342.86
175,342,347.92
176,342,348.1
177,342,351.48
178,342,345.69
179,342,348.67
