geracao,melhor,media
1,514,666.61
2,498,639.08
3,498,624.5
4,472,613.89
5,472,597.06
6,464,592.21
7,464,593.72
8,453,582.6
9,453,564.05
10,453,542.02
11,453,532.33
12,453,512.17
13,433,495.04
14,433,479.41
15,433,469.33
16,433,462.25
17,433,458.11
18,433,456.9
19,433,451.25
20,394,444.79
21,394,444.62
22,394,439.1
23,394,438.64
24,394,433.79
25,394,429.74
26,394,417.85
27,389,412.4
28,389,399.34
29,389,399.95
30,385,400.59
31,379,397.89
32,379,398.69
33,379,394.97
34,379,395.86
35,379,391.97
36,379,392.24
37,379,388.41
38,379,393.15
39,379,390.39
40,379,385.41
41,377,385.51
42,377,385.8
43,377,380.5
44,377,388.43
45,377,386.16
46,377,381.83
47,377,382.02
48,377,390.34
49,377,385.12
50,373,384.98
51,373,383.38
52,373,383.55
53,373,383.44
54,373,385.1
55,373,382.23
56,373,379.48
57,369,379.4
58,369,379.57
59,369,383.65
60,369,382.58
61,369,381.64
62,369,375.31
63,369,377.56
64,369,381.94
65,369,372.44
66,369,381.67
67,369,373.58
68,369,387.01
69,369,378.38
70,369,378.72
71,369,373.09
72,369,375.8
73,369,376.3
74,369,375.86
75,369,379.64
76,369,379.19
77,369,376.0
78,369,376.52
79,369,375.28
80,369,372.99
81,369,375.73
82,369,381.25
83,369,382.78
84,369,378.19
85,369,379.27
86,369,372.49
87,369,379.54
88,369,376.02
89,369,375.16
90,369,375.91
91,369,376.29
92,369,376.02
93,369,377.33
94,369,378.69
95,369,379.46
96,369,379.64
97,369,378.45
98,369,380.21
99,369,377.22
100,369,380.77
101,369,376.48
102,369,380.23
103,369,379.73
104,369,375.53
105,369,378.38
106,369,380.89
107,369,382.52
108,369,377.12
109,369,376.53
110,369,375.61
111,369,375.29
112,369,378.03
113,369,375.3
114,369,376.65
115,369,379.21
116,369,378.39
117,369,377.28
118,369,372.24
119,369,376.78
120,369,371.6
121,369,378.48
122,369,380.54
123,369,377.95
124,369,380.68
125,369,380.76
126,369,379.85
127,369,377.12
128,369,375.72
129,369,378.81
130,369,381.13
131,369,375.56
132,369,376.37
133,369,376.22
134,369,379.39
135,369,373.86
136,369,378.99
137,369,380.24
138,369,378.64
139,369,377.3
140,369,374.65
141,369,375.71
142,369,378.98
143,369,381.06
144,369,383.33
145,369,376.98
146,369,377.0
147,369,377.72
148,369,376.81
149,369,374.59
150,369,373.91
151,369,379.88
152,369,376.97
153,369,375.17
154,369,373.71
155,369,381.52
156,369,377.83
157,369,372.94
158,369,376.82
159,369,374.63
160,369,383.19
161,369,381.37
162,369,382.01
163,369,375.27
164,369,378.73
165,369,384.13
166,369,380.35
167,369,377.29
168,369,375.82
169,369,378.08
170,369,379.9
171,369,379.72
172,369,379.72
173,369,376.54
174,369,378.86
175,369,382.53
176,369,377.0
177,369,381.95
178,369,380.95
179,369,377.03
180,369,381.09
181,369,376.54
182,369,377.54
183,369,383.99
184,369,377.35
185,369,383.06
186,369,380.48
187,369,375.32
188,369,381.25
189,369,375.21
190,369,374.56
191,369,377.36
192,369,377.77
193,369,379.34
194,369,377.05
195,369,379.35
196,369,377.58
197,369,377.09
198,369,375.21
199,369,373.45
200,369,379.44
201,369,377.16
202,369,375.34
203,369,377.7
204,369,379.03
205,369,377.16
206,369,375.84
207,369,378.49
208,369,378.27
209,369,373.57
210,369,380.9
211,369,379.7
212,369,381.06
213,369,377.85
214,369,373.14
215,369,379.59
216,369,383.47
217,369,377.18
218,369,379.9
219,369,382.33
220,369,378.61
221,369,374.74
222,369,377.74
223,369,377.47
224,369,379.56
225,369,376.21
226,369,379.64
227,369,371.5
228,369,373.86
229,369,376.81
230,369,376.76
231,369,373.61
232,369,372.38
233,369,377.1
234,369,379.75
235,369,373.94
236,369,373.63
237,369,377.01
238,369,373.79
239,369,374.07
240,369,376.25
241,369,375.8
242,369,384.11
243,369,376.33
244,369,379.15
245,369,372.58
246,369,376.94
247,369,376.3
248,369,372.66
249,369,375.81
250,369,373.68
251,369,379.44
252,369,379.71
253,369,375.32
254,369,374.01
255,369,377.14
256,369,374.54
257,369,383.72
258,369,381.41
259,369,379.12
260,369,373.5
261,369,372.86
262,369,375.2
263,369,379.6
264,369,375.62
265,369,375.13
266,369,378.14
267,369,376.84
268,369,379.37
269,369,382.02
270,369,374.08
271,369,374.46
272,369,375.67
273,369,375.7
274,369,375.43
275,369,379.35
276,369,376.05
277,369,380.13
278,369,372.78
279,369,373.18
280,369,380.33
281,369,377.72
282,369,376.44
283,369,373.31
284,369,377.91
285,369,375.07
286,369,374.48
287,369,376.45
288,369,375.47
289,369,375.13
290,369,372.65
291,369,380.61
292,369,381.66
293,369,375.2
294,369,378.99
295,369,375.76
296,369,373.37
297,369,380.82
298,369,375.6
299,369,377.2
300,369,382.91
301,369,375.94
302,369,378.42
303,369,375.96
304,369,374.16
305,369,376.0
306,369,378.75
307,369,380.5
308,369,375.45
309,369,372.04
310,369,376.4
311,369,374.52
312,369,380.8
313,369,376.54
314,369,379.44
315,369,373.09
316,369,376.34
317,369,375.36
318,369,374.95
319,369,375.18
320,369,379.98
321,369,373.41
322,369,371.12
323,369,378.23
324,369,372.71
325,369,377.97
326,369,376.26
327,369,380.97
328,369,380.29
329,369,374.74
330,369,373.35
331,369,374.83
332,369,374.78
333,369,384.19
334,369,382.98
335,369,380.52
336,369,377.36
337,369,376.13
338,369,373.19
339,369,375.99
340,369,372.69
341,369,372.92
342,369,374.09
343,369,374.28
344,369,371.72
345,369,375.24
346,369,383.42
347,369,381.54
348,369,380.33
349,369,376.96
350,369,378.86
351,369,378.05
352,369,381.9
353,369,382.83
354,369,377.82
355,369,376.72
356,369,378.06
357,369,378.97
358,369,380.97
359,369,373.88
360,369,376.23
361,369,377.28
362,369,375.93
363,369,376.14
364,369,382.18
365,369,383.58
366,369,379.93
367,369,371.5
368,369,374.19
369,369,376.77
370,369,380.17
371,369,377.39
372,369,378.34
373,369,377.49
374,369,379.04
375,369,377.09
376,369,376.14
377,369,373.91
378,369,374.72
379,369,373.91
380,369,382.73
381,369,378.22
382,369,377.73
383,369,376.41
384,369,376.38
385,369,379.98
386,369,378.16
387,369,379.44
388,369,374.87
389,369,376.13
390,369,376.27
391,369,378.35
392,369,380.99
393,369,376.29
394,369,374.64
