geracao,melhor,media
1,13126273,9444564.385
2,13215755,9464057.215
3,13215755,9703397.535
4,13284274,10210104.69
5,13284274,10071613.91
6,13284274,9845767.135
7,13338403,9286698.94
8,13338403,9910063.615
9,13338403,10084284.78
10,13338403,10182857.23
11,13338403,10253828.74
12,13338403,10090225.415
13,13338403,9547942.18
14,13338403,9786704.585
15,13338403,9928415.795
16,13338403,10090123.875
17,13338403,10121843.275
18,13338403,9707283.88
19,13338403,9936465.125
20,13338403,9912119.74
21,13338403,10032277.21
22,13338403,10220313.51
23,13403264,10333961.325
24,13403264,9831794.185
25,13403264,10180234.405
26,13403264,9871659.175
27,13403264,10652054.78
28,13403264,9978090.955
29,13403264,10181729.91
30,13403264,10028497.27
31,13403264,10183768.41
32,13403264,10203886.06
33,13403264,10259623.94
34,13459475,9749763.64
35,13459475,9962780.57
36,13459475,9931943.29
37,13459475,10186167.035
38,13459475,9982262.74
39,13459475,10120697.07
40,13459475,10035558.215
41,13459475,10269693.02
42,13459475,10642673.55
43,13464598,10292437.065
44,13464598,10193683.135
45,13505878,10188511.16
46,13505878,10360922.45
47,13505878,10473891.09
48,13505878,10414637.92
49,13505878,9860989.655
50,13505878,9832429.07
51,13505878,9591554.12
52,13505878,10130756.76
53,13505878,10343465.05
54,13505878,10196348.87
55,13505878,10215724.065
56,13505878,9879362.06
57,13505878,10091845.585
58,13505878,10110402.79
59,13505878,10076924.075
60,13505878,10543323.425
61,13505878,10287548.95
62,13505878,10463868.265
63,13505878,10630605.935
64,13505878,10158914.46
65,13505878,10176011.06
66,13505878,10255657.425
67,13505878,10407016.175
68,13505878,10674810.39
69,13505878,10069152.94
70,13505878,9803604.075
71,13505878,10546066.57
72,13505878,9853133.19
73,13505878,9931025.635
74,13505878,10143745.305
75,13505878,9947483.46
76,13505878,10144202.04
77,13505878,10372043.83
78,13505878,9967650.54
79,13505878,9894117.425
80,13505878,10015526.345
81,13505878,9924497.58
82,13505878,10250962.83
83,13505878,10386924.66
84,13505878,10259895.645
85,13505878,10301896.395
86,13505878,10398040.55
87,13505878,10426370.15
88,13505878,9867018.37
89,13505878,10207301.31
90,13505878,9896222.85
91,13505878,10380442.705
92,13505878,10298962.37
93,13505878,10615699.28
94,13505878,10497447.115
95,13505878,10381613.665
96,13505878,10478120.895
97,13505878,10556571.11
98,13505878,10241504.84
99,13505878,10294666.225
100,13505878,10498435.62
101,13505878,10083198.5
102,13505878,10409638.405
103,13505878,10632222.635
104,13505878,10456230.475
105,13505878,10193167.365
106,13505878,9985480.425
107,13505878,10049461.48
108,13505878,10562512.405
109,13505878,10082266.69
110,13505878,10305264.285
111,13505878,10157927.925
112,13505878,9968538.27
113,13505878,9802655.59
114,13505878,10653573.015
115,13505878,10572692.675
116,13505878,10434538.59
117,13505878,10660758.035
118,13505878,9900260.22
119,13505878,10218531.09
120,13505878,10039144.71
121,13505878,10140441.505
122,13505878,10423576.86
123,13505878,10035512.63
124,13505878,10111126.61
125,13505878,9936196.74
126,13505878,9863351.86
127,13505878,10200038.435
128,13505878,10746228.795
129,13505878,10416876.035
130,13505878,9917150.71
131,13505878,10208650.665
132,13505878,10077282.915
133,13505878,10297510.675
134,13505878,10116876.16
135,13505878,10232364.435
136,13505878,10132332.905
137,13505878,10429266.175
138,13505878,10337648.5
139,13505878,10339916.81
140,13505878,10321587.285
141,13505878,10322024.755
142,13505878,10016826.08
143,13505878,10504951.265
144,13505878,10096437.16
145,13505878,9891388.805
146,13505878,10385493.08
147,13505878,10205003.925
148,13505878,10035938.345
149,13505878,10271741.2
150,13505878,10416754.74
151,13505878,10424244.695
152,13505878,10162896.9
153,13505878,10418352.685
154,13505878,10388971.27
155,13505878,9953467.21
156,13505878,10166905.395
157,13505878,10389746.875
158,13505878,10360378.36
159,13505878,10163235.455
160,13505878,9968288.53
161,13505878,10477548.685
162,13505878,10290297.995
163,13505878,10325078.43
164,13505878,10027126.02
165,13505878,10424272.875
166,13505878,10378476.675
167,13505878,10513749.67
168,13505878,10657647.68
169,13505878,10158203.485
170,13505878,10225206.27
171,13505878,10594280.635
172,13505878,10355261.665
173,13505878,10311684.605
174,13505878,10041652.205
175,13505878,10540647.36
176,13505878,10568204.31
177,13505878,10273041.105
178,13505878,10097693.26
179,13505878,10732239.7
180,13505878,10425841.08
181,13505878,10713199.6
182,13505878,10457886.64
183,13505878,10339872.73
184,13505878,10698707.29
185,13505878,10493125.56
186,13505878,10394640.38
187,13505878,10381797.255
188,13505878,10214277.28
189,13505878,10095732.345
190,13505878,10491987.225
191,13505878,10438884.415
192,13505878,10708250.955
193,13505878,10324143.51
194,13505878,10211939.25
195,13505878,10173401.385
196,13505878,9932595.895
197,13505878,10271580.345
198,13505878,10502669.97
199,13505878,10311429.045
200,13505878,10220393.435
