geracao,melhor,media
1,13231433,8878143.982
2,13173556,9121526.676
3,13213140,9270036.894
4,13313909,9132560.364
5,13351338,9174175.026
6,13278448,9097043.662
7,13326502,9256709.556
8,13100740,8914099.53
9,13165825,9305878.526
10,13203884,9452211.828
11,13253303,9298129.452
12,13196703,9038441.552
13,13202850,9190487.016
14,13327591,8971122.882
15,13269736,8886846.858
16,13209201,9084126.68
17,13205541,9330672.888
18,13173664,9337147.764
19,13184579,9417595.666
20,13276620,8977179.546
21,13396834,9276007.734
22,13396834,9258105.818
23,13293680,9194630.628
24,13456720,9367953.622
25,13138710,8852911.392
26,13231249,9059698.402
27,13293519,9322494.234
28,13162858,9408970.872
29,13142086,9400408.06
30,13160889,9559017.798
31,13256138,9473783.966
32,13374516,9146006.896
33,13278944,9246404.91
34,13272364,9405212.672
35,13292357,9252636.186
36,13108516,8977756.794
37,13189119,9323299.158
38,13201083,9115461.442
39,13152063,8910484.202
40,13136773,9313746.058
41,13305487,9473942.758
42,13410306,9351195.812
43,13251378,9005873.11
44,13435383,9242792.484
45,13326235,9269293.19
46,13195324,9234481.244
47,13293478,9284799.32
48,13178677,8902148.444
49,13260074,9108271.612
50,13123639,9186021.454
51,13203025,9022092.812
52,13308604,9434737.502
53,13205798,9540412.44
54,13246593,9294216.352
55,13136766,9089069.474
56,13095917,9115196.712
57,13295166,9265378.724
58,13271095,9187067.066
59,13163426,8974504.534
60,13183601,9135374.636
61,13268383,8955325.776
62,13435292,9061839.084
63,13170469,9117097.382
64,13201773,9144214.304
65,13078731,9052750.032
66,13225189,9265845.268
67,13135596,9142855.356
68,13225900,8998073.448
69,13214951,9205480.916
70,13221003,9129488.782
71,13189929,9235014.554
72,13150312,9099956.838
73,13326794,9167289.128
74,13168187,9140341.764
75,13208039,9257689.14
76,13329790,8706026.748
77,13276696,9026110.298
78,13198943,8988081.902
79,13353883,8888209.196
80,13106209,9097097.338
81,13267406,9256548.112
82,13218741,9011037.742
83,13159233,9052287.456
84,13425611,9369023.294
85,13397220,9294364.62
86,13254749,9272812.902
87,13261353,9556486.846
88,13341913,9421319.334
89,13400827,9346064.462
90,13226171,9570110.388
91,13184644,9140328.466
92,13238004,9238043.154
93,13205638,9410644.652
94,13180094,9403479.788
95,13209840,9120695.434
96,13150610,9272315.006
97,13217592,9098640.97
98,13365385,9364660.36
99,13114295,9202792.016
100,13327461,8797673.55
101,13222503,8981307.202
102,13129944,9006998.508
103,13268578,9333109.606
104,13272182,9271026.962
105,13274808,9419514.468
106,13109928,9107920.01
107,13142071,9306092.288
108,13079722,9063731.682
109,13134962,9153803.394
110,13233349,9096180.886
111,13258960,9459301.674
112,13183590,9536389.79
113,13236586,9111224.94
114,13101575,9361699.792
115,13275341,9260594.344
116,13327073,9254653.666
117,13325888,8719260.586
118,13303443,9225442.894
119,13205921,9223045.334
120,13105372,9232464.178
121,13233060,9207204.566
122,13237670,8831352.91
123,13221481,8992927.15
124,13286724,9317828.798
125,13150613,9204031.49
126,13152424,8965098.19
127,13193565,9176711.616
128,13302425,9184207.82
129,13212029,9198894.068
130,13344081,8891240.99
131,13103701,8833004.194
132,13194930,9203689.556
133,13098722,9118005.052
134,13182486,9269035.094
135,13308182,9008913.836
136,13194710,9164545.486
137,13084240,9193727.682
138,13207270,9365623.926
139,13229356,8837856.428
140,13118534,9018727.486
141,13358129,8843925.964
142,13297409,9336547.704
143,13202946,9348450.504
144,13104994,9140155.7
145,13295299,8874997.434
146,13252565,8817956.628
147,13265331,9092650.182
148,13154734,8640199.548
149,13155887,9496386.672
150,13367129,9093585.614
151,13295757,9305644.812
152,13155003,9218159.482
153,13159268,9210961.668
154,13348949,9176407.382
155,13141899,9311870.31
156,13167596,9653594.002
157,13217750,9392178.784
158,13249914,9384386.056
159,13188398,9187555.368
160,13242073,9101543.504
161,13275322,8821639.052
162,13253525,9066198.496
163,13391875,9054539.506
164,13253525,9536121.754
165,13311078,9131936.824
166,13256763,8901490.684
167,13180034,9100273.914
168,13147151,9417275.356
169,13318006,8950627.378
170,13304731,8770634.628
171,13368736,9119127.412
172,13156504,9274594.362
173,13234012,9209559.636
174,13206428,9143475.81
175,13338365,9131518.97
176,13223853,9108541.014
177,13264996,8847858.602
178,13210690,9505942.446
179,13261017,9320440.008
180,13158187,9275424.486
181,13198277,9229653.562
182,13181756,9181120.36
183,13193795,9092002.08
184,13312233,9133241.75
185,13181868,9384016.89
186,13270508,9157946.03
187,13241336,9104596.434
188,13265725,9070338.604
189,13275367,9172354.232
190,13312789,9172046.372
191,13239140,9065735.774
192,13344538,9280999.992
193,13141998,9154572.974
194,13068139,9062607.63
195,13180646,9127377.67
196,13186449,9316675.05
197,13240053,9045934.912
198,13178879,9142102.268
199,13428078,9155047.166
200,13288817,8868039.3
