npop,nger,Pc,Pm,k,n_elite,Melhor μ,Melhor σ,Média μ,Média σ
100,100,1.0,0.05,2,2,13495864.8,20928.775601071364,10373176.088999998,191695.0545656648
100,100,1.0,0.05,2,0,13216042.7,90951.44202930485,9955241.514000002,329757.10747061117
100,100,1.0,0.1,2,2,13427229.6,25953.29748297892,9301914.863,475041.7554011587
100,100,1.0,0.1,2,0,13107357.1,111948.08306214983,9411106.032000002,387358.920107955
100,100,0.8,0.05,2,2,13473522.5,24783.05353764947,10475320.069999998,254710.11726582624
100,100,0.8,0.05,2,0,13104781.5,127831.25910374973,10076602.041,217970.1791951355
100,100,0.8,0.1,2,2,13452649.7,55339.26689078922,9517403.845,444573.988273076
100,100,0.8,0.1,2,0,13069312.6,169248.1329641187,9230348.217,463702.3796767172
100,200,1.0,0.05,2,2,13503553.4,23259.415831873335,9976474.324,282352.7218554786
100,200,1.0,0.05,2,0,13148524.4,109821.66205553438,9886062.025999999,425201.87810163177
100,200,1.0,0.1,2,2,13486102.6,24521.053946353935,9266491.645,459841.5535560074
100,200,1.0,0.1,2,0,13064084.5,128448.98542943031,9153723.576,480433.67616543145
100,200,0.8,0.05,2,2,13515670.3,20424.326192312932,10358401.539,370683.9182110685
100,200,0.8,0.05,2,0,13146317.9,130824.56478234506,9871327.517,270061.0563161749
100,200,0.8,0.1,2,2,13486325.1,29860.891820071287,9432617.805000002,474674.6108714321
100,200,0.8,0.1,2,0,13048158.3,100444.84039317301,9333841.701000001,372838.2701562159
100,500,1.0,0.05,2,2,13535707.1,18116.843480308595,10242477.015999999,269374.26275759004
100,500,1.0,0.05,2,0,13174573.2,91582.79491345522,9817170.52,340367.29810990393
100,500,1.0,0.1,2,2,13495715.9,20532.846702052786,9338892.753,270204.088376882
100,500,1.0,0.1,2,0,13056902.8,106579.57937972921,9246209.023,370728.09271995793
100,500,0.8,0.05,2,2,13521983.9,15659.174508574839,10461839.884,393854.28330096864
100,500,0.8,0.05,2,0,13194119.9,94605.33905277228,10162601.504999999,242309.77634810822
100,500,0.8,0.1,2,2,13490314.9,29131.501106019237,9586167.311,343489.34845801134
100,500,0.8,0.1,2,0,13066292.9,117702.11532546899,9198747.796,523329.305272312
200,100,1.0,0.05,2,2,13488431.7,19249.048620905916,10173446.3485,230548.11800425118
200,100,1.0,0.05,2,0,13214328.4,75030.64747714764,9867510.346499998,167868.2045518863
200,100,1.0,0.1,2,2,13454116.6,37163.91462749854,9151757.830500001,249224.37517144793
