geracao,melhor,media
1,490,661.564
2,454,641.434
3,426,620.706
4,426,603.616
5,426,591.146
6,426,586.136
7,416,581.43
8,416,573.024
9,412,565.06
10,388,558.53
11,388,553.906
12,388,553.312
13,388,554.036
14,388,550.564
15,376,551.228
16,376,551.56
17,376,552.562
18,376,549.024
19,376,547.096
20,376,546.218
21,376,544.478
22,376,544.702
23,376,545.176
24,376,544.066
25,376,550.944
26,327,551.448
27,327,548.34
28,327,551.66
29,327,551.804
30,327,549.844
31,327,551.322
32,327,544.746
33,327,544.986
34,327,535.044
35,327,536.3
36,327,540.634
37,327,537.298
38,327,540.686
39,327,544.296
40,327,538.428
41,327,537.08
42,327,533.9
43,327,527.142
44,327,529.092
45,327,520.748
46,327,521.868
47,327,518.074
48,327,520.602
49,327,522.306
50,327,522.554
51,327,523.896
52,327,519.842
53,327,520.278
54,327,519.286
55,327,522.778
56,327,527.766
57,327,529.756
58,327,529.746
59,291,531.906
60,291,533.206
61,291,533.904
62,291,532.144
63,291,535.532
64,291,534.308
65,291,531.42
66,291,532.948
67,291,528.46
68,291,527.478
69,291,527.738
70,291,526.848
71,291,521.93
72,291,521.914
73,291,521.11
74,291,520.708
75,291,515.872
76,291,520.872
77,291,519.558
78,291,516.292
79,291,519.382
80,291,515.974
81,291,517.756
82,291,515.754
83,291,515.532
84,291,515.648
85,291,514.196
86,291,516.954
87,291,518.5
88,291,512.522
89,291,517.668
90,291,517.276
91,291,517.328
92,291,514.952
93,291,508.72
94,291,508.318
95,291,512.17
96,291,515.048
97,291,516.906
98,291,514.906
99,291,515.414
100,291,515.77
101,291,517.212
102,291,511.92
103,291,516.662
104,291,517.632
105,291,516.622
106,291,520.57
107,291,520.284
108,291,514.306
109,291,517.052
110,291,516.556
111,291,519.008
112,291,525.47
113,291,529.526
114,291,527.08
115,291,530.026
116,291,525.354
117,291,526.306
118,291,523.924
119,291,528.938
120,291,527.208
121,291,529.31
122,291,531.584
123,291,521.764
124,291,519.648
125,291,518.764
126,291,506.904
127,291,508.38
128,291,504.302
129,291,504.924
130,291,510.124
131,291,514.932
132,291,516.786
133,291,517.352
134,291,517.14
135,291,521.26
136,291,516.142
137,291,517.234
138,291,514.838
139,291,517.508
140,291,519.328
