npop,nger,Pc,Pm,k,n_elite,Melhor μ,Melhor σ,Média μ,Média σ
100,100,1.0,0.05,2,2,298.6,11.377170122662314,459.284,11.429339613468485
100,100,1.0,0.05,2,0,426.0,14.696938456699069,549.692,13.85871768959885
100,100,1.0,0.1,2,2,300.6,15.486768546084752,471.129,17.94935232814822
100,100,1.0,0.1,2,0,429.2,18.35102176991788,550.4269999999999,15.758289913566115
100,100,0.8,0.05,2,2,294.2,6.4,404.08899999999994,21.807273305023706
100,100,0.8,0.05,2,0,339.5,26.507546095404606,468.314,24.311544253707947
100,100,0.8,0.1,2,2,294.0,9.0,407.339,18.13831053323325
100,100,0.8,0.1,2,0,378.8,18.290981384277885,503.75300000000004,19.01852520570403
100,200,1.0,0.05,2,2,295.6,9.718024490605073,461.279,18.721009828532214
100,200,1.0,0.05,2,0,413.6,23.563531144546225,546.4770000000001,16.188914139002648
100,200,1.0,0.1,2,2,298.6,12.15894732285653,466.54799999999994,17.887332836395707
100,200,1.0,0.1,2,0,437.9,18.124293089662835,560.7950000000001,7.597996117398324
100,200,0.8,0.05,2,2,298.6,12.15894732285653,403.481,16.903546639684826
100,200,0.8,0.05,2,0,363.3,19.889947209583035,478.465,17.436624243241575
100,200,0.8,0.1,2,2,297.0,12.0,428.196,25.15878741116113
100,200,0.8,0.1,2,0,378.5,28.380451018262555,510.054,14.399680690904233
100,500,1.0,0.05,2,2,294.0,9.0,453.476,18.48045356586251
100,500,1.0,0.05,2,0,394.5,26.893307717720408,534.283,14.866660048578488
100,500,1.0,0.1,2,2,291.0,0.0,467.582,16.109786963209665
100,500,1.0,0.1,2,0,419.2,26.54354912215019,554.673,17.027291651933375
100,500,0.8,0.05,2,2,294.0,9.0,397.082,17.920555683348653
100,500,0.8,0.05,2,0,344.8,22.121482771279144,461.983,23.83003275281005
100,500,0.8,0.1,2,2,291.0,0.0,414.38199999999995,16.048131853895026
100,500,0.8,0.1,2,0,358.9,25.928555686732725,482.16,29.488000271296784
200,100,1.0,0.05,2,2,297.2,10.137060717979349,481.19449999999995,12.62074768981617
200,100,1.0,0.05,2,0,407.6,18.542923178398816,546.9495,8.618612837922349
200,100,1.0,0.1,2,2,292.2,2.5612496949731396,498.3245,13.943887989007946
200,100,1.0,0.1,2,0,404.5,28.079351844371338,557.1370000000001,8.212786737764471
200,100,0.8,0.05,2,2,294.0,9.0,406.934,13.496505251360446
200,100,0.8,0.05,2,0,330.3,24.53181607627124,466.1125,19.350608291472394
200,100,0.8,0.1,2,2,300.8,15.111584959890873,430.25250000000005,25.879803056630866
200,100,0.8,0.1,2,0,363.6,31.071530377501528,508.121,24.072689795700025
200,200,1.0,0.05,2,2,297.4,12.831211945876353,486.23100000000005,9.831145864038431
200,200,1.0,0.05,2,0,408.9,20.82522508881957,549.2909999999999,8.752289072008532
200,200,1.0,0.1,2,2,291.0,0.0,490.41,10.434488248112611
200,200,1.0,0.1,2,0,402.4,21.37381575666825,558.6505000000001,7.4336200636029375
200,200,0.8,0.05,2,2,291.0,0.0,404.9885,11.4126051035686
200,200,0.8,0.05,2,0,317.8,15.954936540143304,451.01950000000005,17.860532809801615
200,200,0.8,0.1,2,2,294.0,9.0,425.92299999999994,13.365146314200977
200,200,0.8,0.1,2,0,343.6,22.307846153315655,488.1115,21.42068136754757
200,500,1.0,0.05,2,2,297.0,12.0,484.954,18.507631912267968
200,500,1.0,0.05,2,0,405.3,19.03181546778972,546.2864999999999,9.842961965282605
200,500,1.0,0.1,2,2,294.0,9.0,501.31149999999997,15.792043732525574
200,500,1.0,0.1,2,0,404.0,25.207141845120006,559.3135,7.5622407558871005
200,500,0.8,0.05,2,2,291.0,0.0,403.03149999999994,16.49388190360292
200,500,0.8,0.05,2,0,310.8,15.085091978506462,449.91549999999995,13.078935822535417
200,500,0.8,0.1,2,2,297.0,12.0,437.4255,15.989203615252388
200,500,0.8,0.1,2,0,332.8,28.166646942793882,480.7290000000001,19.912764850718247
500,100,1.0,0.05,2,2,300.8,11.813551540497887,513.1410000000001,5.715393897186798
500,100,1.0,0.05,2,0,378.6,29.54725029507822,547.3108,7.644182059579688
500,100,1.0,0.1,2,2,296.6,7.838367176906169,524.251,8.753920184694403
500,100,1.0,0.1,2,0,377.4,18.655830187906407,552.9300000000001,5.844303003780711
500,100,0.8,0.05,2,2,291.0,0.0,419.006,9.937035332532535
500,100,0.8,0.05,2,0,315.4,16.12575579624099,452.53180000000003,18.590769461213807
500,100,0.8,0.1,2,2,291.0,0.0,442.0228,13.717673861118
500,100,0.8,0.1,2,0,334.2,24.673062233942506,494.78780000000006,18.77908516302114
500,200,1.0,0.05,2,2,291.0,0.0,511.34619999999995,8.543894074717922
500,200,1.0,0.05,2,0,385.1,18.87564568432031,549.623,6.510401108994751
500,200,1.0,0.1,2,2,293.0,4.8166378315169185,519.7848,8.232768438380864
500,200,1.0,0.1,2,0,388.4,25.040766761423264,559.4972,4.095309824665295
500,200,0.8,0.05,2,2,291.0,0.0,415.6118,10.650128654621986
500,200,0.8,0.05,2,0,300.3,8.69540108333135,441.0526,11.717671579285703
500,200,0.8,0.1,2,2,291.0,0.0,437.6606,7.795255687916847
500,200,0.8,0.1,2,0,309.5,16.280356261458163,469.7826,13.577879011097426
500,500,1.0,0.05,2,2,291.0,0.0,513.0378000000001,5.400821156083587
500,500,1.0,0.05,2,0,383.3,18.606719216455115,547.7608,8.360217757929528
500,500,1.0,0.1,2,2,291.0,0.0,521.4277999999999,7.999756368790241
500,500,1.0,0.1,2,0,399.7,12.008746812219833,556.1967999999999,2.7925777625699206
500,500,0.8,0.05,2,2,291.0,0.0,417.43820000000005,9.166766166975131
500,500,0.8,0.05,2,0,301.4,13.908270920570969,439.9531999999999,16.75769750771268
500,500,0.8,0.1,2,2,291.0,0.0,438.40959999999995,8.137139536716822
500,500,0.8,0.1,2,0,322.0,17.555625878902752,475.5834,11.3090646492095
