geracao,melhor,media
1,417,651.385
2,420,630.635
3,423,599.215
4,384,577.855
5,363,554.33
6,342,529.46
7,230,494.945
8,215,463.42
9,187,432.175
10,159,404.61
11,103,371.48
12,46,340.04
13,92,317.395
14,64,288.62
15,42,265.34
16,42,236.425
17,22,224.555
18,0,200.275
19,0,181.45
20,0,160.075
21,0,141.23
22,0,111.145
23,0,92.6
24,0,82.385
25,0,58.905
26,0,48.18
27,0,36.405
28,0,22.11
29,0,15.445
30,0,10.75
31,0,5.415
32,0,4.43
33,0,2.68
34,0,0.11
35,0,0.0
36,0,0.0
37,0,0.0
38,0,0.0
39,0,0.0
40,0,0.0
41,0,0.0
42,0,0.0
43,0,0.0
44,0,0.0
45,0,0.0
46,0,0.0
47,0,0.0
48,0,0.0
49,0,0.0
50,0,0.0
51,0,0.0
52,0,0.0
53,0,0.0
54,0,0.0
55,0,0.0
56,0,0.0
57,0,0.0
58,0,0.0
59,0,0.0
60,0,0.0
61,0,0.0
62,0,0.0
63,0,0.0
64,0,0.0
65,0,0.0
66,0,0.0
67,0,0.0
68,0,0.0
69,0,0.0
70,0,0.0
71,0,0.0
72,0,0.0
73,0,0.0
74,0,0.0
75,0,0.0
76,0,0.0
77,0,0.0
78,0,0.0
79,0,0.0
80,0,0.0
81,0,0.0
82,0,0.0
83,0,0.0
84,0,0.0
85,0,0.0
86,0,0.0
87,0,0.0
88,0,0.0
89,0,0.0
90,0,0.0
91,0,0.0
92,0,0.0
93,0,0.0
94,0,0.0
95,0,0.0
96,0,0.0
97,0,0.0
98,0,0.0
99,0,0.0
100,0,0.0
