npop,nger,Pc,Pm,k,n_elite,Melhor μ,Melhor σ,Média μ,Média σ
100,100,1.0,0.05,2,2,0.0,0.0,0.0,0.0
100,100,1.0,0.05,2,0,0.0,0.0,0.0,0.0
100,100,1.0,0.1,2,2,0.0,0.0,0.0,0.0
100,100,1.0,0.1,2,0,0.0,0.0,0.0,0.0
100,100,0.8,0.05,2,2,0.0,0.0,0.0,0.0
100,100,0.8,0.05,2,0,0.0,0.0,0.0,0.0
100,100,0.8,0.1,2,2,0.0,0.0,0.0,0.0
100,100,0.8,0.1,2,0,0.0,0.0,0.0,0.0
100,200,1.0,0.05,2,2,0.0,0.0,0.0,0.0
100,200,1.0,0.05,2,0,0.0,0.0,0.0,0.0
100,200,1.0,0.1,2,2,0.0,0.0,0.0,0.0
100,200,1.0,0.1,2,0,0.0,0.0,0.0,0.0
100,200,0.8,0.05,2,2,0.0,0.0,0.0,0.0
100,200,0.8,0.05,2,0,0.0,0.0,0.0,0.0
100,200,0.8,0.1,2,2,0.0,0.0,0.0,0.0
100,200,0.8,0.1,2,0,0.0,0.0,0.0,0.0
100,500,1.0,0.05,2,2,0.0,0.0,0.0,0.0
100,500,1.0,0.05,2,0,0.0,0.0,0.0,0.0
100,500,1.0,0.1,2,2,0.0,0.0,0.0,0.0
100,500,1.0,0.1,2,0,0.0,0.0,0.0,0.0
100,500,0.8,0.05,2,2,0.0,0.0,0.0,0.0
100,500,0.8,0.05,2,0,0.0,0.0,0.0,0.0
100,500,0.8,0.1,2,2,0.0,0.0,0.0,0.0
100,500,0.8,0.1,2,0,0.0,0.0,0.0,0.0
200,100,1.0,0.05,2,2,0.0,0.0,0.0,0.0
200,100,1.0,0.05,2,0,0.0,0.0,0.0,0.0
200,100,1.0,0.1,2,2,0.0,0.0,0.0,0.0
200,100,1.0,0.1,2,0,0.0,0.0,0.0,0.0
200,100,0.8,0.05,2,2,0.0,0.0,0.0,0.0
200,100,0.8,0.05,2,0,0.0,0.0,0.0,0.0
200,100,0.8,0.1,2,2,0.0,0.0,0.0,0.0
200,100,0.8,0.1,2,0,0.0,0.0,0.0,0.0
200,200,1.0,0.05,2,2,0.0,0.0,0.0,0.0
200,200,1.0,0.05,2,0,0.0,0.0,0.0,0.0
200,200,1.0,0.1,2,2,0.0,0.0,0.0,0.0
200,200,1.0,0.1,2,0,0.0,0.0,0.0,0.0
200,200,0.8,0.05,2,2,0.0,0.0,0.0,0.0
200,200,0.8,0.05,2,0,0.0,0.0,0.0,0.0
200,200,0.8,0.1,2,2,0.0,0.0,0.0,0.0
200,200,0.8,0.1,2,0,0.0,0.0,0.0,0.0
200,500,1.0,0.05,2,2,0.0,0.0,0.0,0.0
200,500,1.0,0.05,2,0,0.0,0.0,0.0,0.0
200,500,1.0,0.1,2,2,0.0,0.0,0.0,0.0
200,500,1.0,0.1,2,0,0.0,0.0,0.0,0.0
200,500,0.8,0.05,2,2,0.0,0.0,0.0,0.0
200,500,0.8,0.05,2,0,0.0,0.0,0.0,0.0
200,500,0.8,0.1,2,2,0.0,0.0,0.0,0.0
200,500,0.8,0.1,2,0,0.0,0.0,0.0,0.0
500,100,1.0,0.05,2,2,0.0,0.0,0.0,0.0
500,100,1.0,0.05,2,0,0.0,0.0,0.0,0.0
500,100,1.0,0.1,2,2,0.0,0.0,0.0,0.0
500,100,1.0,0.1,2,0,0.0,0.0,0.0,0.0
500,100,0.8,0.05,2,2,0.0,0.0,0.0,0.0
500,100,0.8,0.05,2,0,0.0,0.0,0.0,0.0
500,100,0.8,0.1,2,2,0.0,0.0,0.0,0.0
500,100,0.8,0.1,2,0,0.0,0.0,0.0,0.0
500,200,1.0,0.05,2,2,0.0,0.0,0.0,0.0
500,200,1.0,0.05,2,0,0.0,0.0,0.0,0.0
500,200,1.0,0.1,2,2,0.0,0.0,0.0,0.0
500,200,1.0,0.1,2,0,0.0,0.0,0.0,0.0
500,200,0.8,0.05,2,2,0.0,0.0,0.0,0.0
500,200,0.8,0.05,2,0,0.0,0.0,0.0,0.0
500,200,0.8,0.1,2,2,0.0,0.0,0.0,0.0
500,200,0.8,0.1,2,0,0.0,0.0,0.0,0.0
500,500,1.0,0.05,2,2,0.0,0.0,0.0,0.0
500,500,1.0,0.05,2,0,0.0,0.0,0.0,0.0
500,500,1.0,0.1,2,2,0.0,0.0,0.0,0.0
500,500,1.0,0.1,2,0,0.0,0.0,0.0,0.0
500,500,0.8,0.05,2,2,0.0,0.0,0.0,0.0
500,500,0.8,0.05,2,0,0.0,0.0,0.0,0.0
500,500,0.8,0.1,2,2,0.0,0.0,0.0,0.0
500,500,0.8,0.1,2,0,0.0,0.0,0.0,0.0
