npop,nger,Pc,Pm,k,n_elite,Melhor μ,Melhor σ,Média μ,Média σ
100,100,1.0,0.05,2,2,6.953435851109191e-07,2.070652264155702e-06,0.35313751193862963,0.1102617488204699
100,100,1.0,0.05,2,0,5.655355495015613e-07,1.6944909140036555e-06,0.3445795313381293,0.09631614962897178
100,100,1.0,0.1,2,2,4.04509308715717e-08,7.915561409984556e-08,0.6870215291722485,0.2443138854298038
100,100,1.0,0.1,2,0,0.0021881953243799933,0.006563140653733345,0.7176615852040712,0.1985194236330789
100,100,0.8,0.05,2,2,5.687454996294861e-06,1.554502508942183e-05,0.32921198483336034,0.0874566753834608
100,100,0.8,0.05,2,0,0.007142305106047164,0.021425042566315156,0.34741278292491745,0.07897971179764463
100,100,0.8,0.1,2,2,0.0004262088381548956,0.0012718826797619332,0.7014760192332842,0.12821299440915707
100,100,0.8,0.1,2,0,0.001990199818480054,0.005389386335827713,0.6590597314655853,0.13811538936278447
100,200,1.0,0.05,2,2,3.1805669209461487e-13,1.8981068978533597e-13,0.315489074293751,0.09188096959252398
100,200,1.0,0.05,2,0,0.02816930508913673,0.05719321888093881,0.3825405213406804,0.18984457723390116
100,200,1.0,0.1,2,2,6.881087203147729e-07,2.0643250866925333e-06,0.7138506783274294,0.10750207350036839
100,200,1.0,0.1,2,0,0.0069190317669939995,0.020581886438406485,0.6586014633650238,0.16773173768292698
100,200,0.8,0.05,2,2,8.856293476355858e-12,2.507617289676631e-11,0.2841436289318312,0.12074763426423929
100,200,0.8,0.05,2,0,0.009950237356174174,0.022321615208110553,0.36073374731870206,0.09486736286506223
100,200,0.8,0.1,2,2,2.0212318934120788e-06,5.305699451577349e-06,0.707621485787315,0.13938996971412368
100,200,0.8,0.1,2,0,0.0006868422101484306,0.0017071669410962174,0.7199741535242337,0.16416251704272938
100,500,1.0,0.05,2,2,1.3367085216486885e-13,6.624167796184934e-14,0.35725157839987504,0.08203297915468356
100,500,1.0,0.05,2,0,0.0025373083750726442,0.007588320094138838,0.4212444811977055,0.08553132179374877
100,500,1.0,0.1,2,2,4.373149842251678e-10,1.3116037449221287e-09,0.7341151947869256,0.2016867460644265
100,500,1.0,0.1,2,0,0.02755073122212055,0.04449845317990898,0.7569322180963411,0.20328484245206502
100,500,0.8,0.05,2,2,7.590415640468251e-06,2.2771246076895107e-05,0.28123081027759567,0.0963003955091097
100,500,0.8,0.05,2,0,0.0069788761215300536,0.015669984561111617,0.37135964087143447,0.10844283356447378
100,500,0.8,0.1,2,2,1.148414696672262e-13,8.897118682525572e-14,0.5748473169243142,0.13973308932037523
100,500,0.8,0.1,2,0,0.00841896216395357,0.012630419494165669,0.6585354466480544,0.11086202378820077
200,100,1.0,0.05,2,2,1.1103118424671265e-12,1.0309779217316516e-12,0.3268174998899922,0.0558412549323006
200,100,1.0,0.05,2,0,0.0005252943553686329,0.0012065347090655836,0.34365896544567465,0.0782620805534905
200,100,1.0,0.1,2,2,1.1208394212758322e-10,3.3366218572555794e-10,0.7212490717144421,0.16204991165734337
200,100,1.0,0.1,2,0,0.003087177996482016,0.009261532728266887,0.6530948562157007,0.10993552271239894
200,100,0.8,0.05,2,2,7.013944980371889e-13,3.3637670215526724e-13,0.3400054484171215,0.06689259567120732
200,100,0.8,0.05,2,0,5.569766205590909e-05,0.00016682602925373931,0.3751167332274423,0.0755770571194352
200,100,0.8,0.1,2,2,1.0008882611600712e-12,8.00920985549038e-13,0.6653947079205015,0.09387507735301738
200,100,0.8,0.1,2,0,0.0025574872776066293,0.00767246127889365,0.6871051184729347,0.09502871607661618
200,200,1.0,0.05,2,2,4.381384144380718e-13,1.761859452221702e-13,0.36867903209198166,0.09648429258020273
200,200,1.0,0.05,2,0,1.2066116017450668e-08,1.403330457493106e-08,0.37521588797002947,0.08343043589162792
200,200,1.0,0.1,2,2,4.61231053350275e-13,4.089389502846473e-13,0.7531578279435343,0.11290389256520357
200,200,1.0,0.1,2,0,0.0015317561149733373,0.004588954787094189,0.7038413976202291,0.14141734259702993
200,200,0.8,0.05,2,2,3.113065361048939e-13,1.1209079092252003e-13,0.29065547591835206,0.053998754450258195
200,200,0.8,0.05,2,0,7.343887009625405e-09,1.9115036950329592e-08,0.33560662873810615,0.07796824121670676
200,200,0.8,0.1,2,2,2.843059121460101e-13,2.0606627496321653e-13,0.6682913670157434,0.11902404635342807
200,200,0.8,0.1,2,0,4.5452549546354246e-08,1.3304701345287782e-07,0.6966294175172975,0.0930209166157254
200,500,1.0,0.05,2,2,2.928324249751313e-13,1.2762156561999987e-13,0.31125304212829585,0.06395576741607946
200,500,1.0,0.05,2,0,2.0910315781197396e-05,3.7403960317952614e-05,0.3624833630815788,0.04989165597577256
200,500,1.0,0.1,2,2,2.299493928603624e-13,1.8790597864683144e-13,0.6714729812685609,0.12088035028146601
200,500,1.0,0.1,2,0,9.470929459443056e-06,4.134630461913128e-06,0.697742812294882,0.06860944444539051
200,500,0.8,0.05,2,2,1.77369230414115e-13,7.366721222457939e-14,0.3301155171699845,0.03963778198729494
200,500,0.8,0.05,2,0,4.5906714962740126e-08,3.6795748387578116e-08,0.3466294338268542,0.07580494268611902
200,500,0.8,0.1,2,2,9.103828801926284e-14,5.742332787137845e-14,0.6904987437407186,0.08851100010013477
200,500,0.8,0.1,2,0,7.62940673304513e-08,5.240666740325346e-08,0.7090137462433522,0.1205475323376259
500,100,1.0,0.05,2,2,8.5060847254681e-13,4.272189531838113e-13,0.35424007135315533,0.03656094123854721
500,100,1.0,0.05,2,0,1.7090482362647208e-08,4.961332934341719e-08,0.35610387829261037,0.05107388843607511
500,100,1.0,0.1,2,2,8.783196392414538e-13,3.913550769476806e-13,0.6625455914623242,0.048754748311955316
500,100,1.0,0.1,2,0,5.247330570057329e-10,1.3217545849743716e-10,0.6897379351133235,0.05188847739955163
500,100,0.8,0.05,2,2,5.116795875892422e-13,2.7940890375088546e-13,0.3517133968208133,0.045969050610491544
500,100,0.8,0.05,2,0,1.893875251690602e-05,5.68157792878201e-05,0.33793961902542724,0.042255814116258894
500,100,0.8,0.1,2,2,5.848654893725325e-13,3.8727267986109126e-13,0.7292933309723033,0.06345010867806505
500,100,0.8,0.1,2,0,0.0005569266015872821,0.001670779331343653,0.7325526078169664,0.06172623341249961
500,200,1.0,0.05,2,2,8.71924754619613e-13,5.551495676770733e-13,0.3689638005019641,0.0326712544814722
500,200,1.0,0.05,2,0,8.36527371816942e-09,1.5724628005174578e-09,0.3301276423290304,0.04746043943712344
500,200,1.0,0.1,2,2,6.047606859738153e-13,3.8315139955076887e-13,0.6969964760135945,0.06029366935681335
500,200,1.0,0.1,2,0,7.449736916242955e-09,1.6117827482929201e-09,0.6817915825651988,0.05242718544362379
500,200,0.8,0.05,2,2,3.283595617631363e-13,1.9333455245581144e-13,0.3512621092874651,0.06253824912095557
500,200,0.8,0.05,2,0,1.0097729763458574e-09,2.2053242500741525e-10,0.3198055252079027,0.04661628337012053
500,200,0.8,0.1,2,2,2.8110846983508964e-13,1.3575829661887905e-13,0.6965654935312608,0.06689532298137343
500,200,0.8,0.1,2,0,9.452976179602501e-10,3.4810198569442843e-10,0.7078457906698552,0.04408617679420932
500,500,1.0,0.05,2,2,3.539391002504999e-13,1.8373575896485166e-13,0.3344735673972473,0.05011051444696839
500,500,1.0,0.05,2,0,8.518217596042987e-05,0.00023018162515017873,0.34277059230618784,0.05170689054443092
500,500,1.0,0.1,2,2,2.4984458946164524e-13,1.6260254708070308e-13,0.7049252283053772,0.04749492248343235
500,500,1.0,0.1,2,0,1.0391048412916604e-05,6.122797648148489e-06,0.6686135607548882,0.07493827115357428
500,500,0.8,0.05,2,2,2.438049762076844e-13,1.6349625405481656e-13,0.33398664577697146,0.039896729892006766
500,500,0.8,0.05,2,0,3.240801946802208e-08,4.458680421327663e-08,0.3716692434468915,0.031001006230046823
500,500,0.8,0.1,2,2,2.335021065391629e-13,1.4795847571269618e-13,0.7437779689750681,0.08866464258691681
500,500,0.8,0.1,2,0,1.0803539216119873e-06,3.1496629681712883e-06,0.6879120990683811,0.09127978792292894
