npop,nger,Pc,Pm,k,n_elite,Melhor μ,Melhor σ,Média μ,Média σ
500,500,0.8,0.05,2,2,13540054.7,13807.75882647144,10079485.6356,169725.19265708418
100,500,0.8,0.05,2,2,13539283.9,15575.235834169573,10469020.643,265819.67608373024
500,200,0.8,0.01,2,2,13537723.5,14145.698450412408,12770549.711,116741.7532324949
500,200,1.0,0.01,2,2,13537330.0,14705.743041410726,12765242.5706,99046.59458525876
500,100,1.0,0.01,2,2,13536539.2,26589.37917590405,12817247.3738,97254.564860815
500,500,1.0,0.05,2,2,13536115.8,13019.907816877969,9988084.882,172825.0859592126
100,500,1.0,0.05,2,2,13534035.4,19059.77829986488,10246316.847,251063.52293896463
200,500,1.0,0.05,2,2,13532800.7,16800.3307232328,10049205.073000005,235499.57538263703
500,500,1.0,0.01,2,2,13527931.6,15901.032558925222,12819407.5348,84608.0528646904
500,200,0.8,0.05,2,2,13526005.7,16654.14532811576,10121767.042600002,150519.7233614201
500,100,0.8,0.01,2,2,13524942.5,27864.682744470643,12728403.3938,89743.49051932704
200,500,0.8,0.05,2,2,13521517.9,11520.97588271063,10166779.5715,266605.69692110823
100,200,1.0,0.05,2,2,13519647.7,24819.86581369851,10065776.094,209725.23965760996
500,200,1.0,0.05,2,2,13515637.9,24358.574122678037,9957383.0556,111149.65599366644
500,500,0.8,0.01,2,2,13510079.8,21731.699527648547,12743755.8018,70374.3542183036
200,200,1.0,0.01,2,2,13509832.7,26732.823835315263,12791402.287,95189.13205398682
500,100,0.8,0.05,2,2,13509324.3,23933.490380845,10197972.0012,143935.88241230036
200,200,1.0,0.05,2,2,13507568.5,24201.23492820149,10109389.811,251918.80337099565
200,200,0.8,0.05,2,2,13505675.0,10019.897244982109,10152064.766,92987.95951147845
200,100,1.0,0.05,2,2,13505232.9,22561.277266369478,10013023.014,177468.79317148813
200,200,0.8,0.01,2,2,13505062.1,51456.14564354777,12827995.7155,168541.02441140992
100,200,0.8,0.05,2,2,13503040.1,37557.27742648554,10333711.939,320438.2758905581
200,500,0.8,0.01,2,2,13496255.7,33582.91826524312,12804784.3515,103510.32787993066
100,500,1.0,0.01,2,2,13493540.1,45706.227620423895,12841192.421,212640.26664755825
200,100,0.8,0.01,2,2,13492713.4,37198.56011783252,12746609.504,171789.90639641462
200,100,0.8,0.05,2,2,13491223.4,16144.72664494509,10156409.59,314397.38111190905
200,100,1.0,0.01,2,2,13490811.4,47499.29090249664,12728324.25,208661.43979839337
100,100,0.8,0.05,2,2,13488620.5,21318.26900688703,10288906.159,287920.4364181978
500,100,1.0,0.05,2,2,13482913.8,31789.505078877843,9972036.447,150880.73855321202
500,100,1.0,0.01,2,0,13478773.3,47931.62101379422,12687228.494799998,241631.98761554563
